hour_index,trigger,actual_compute_seconds,baseline_forecast,SARIMAX_forecast,LightGBM_forecast,selected_model,selected_forecast
281,others,7673.03,70.56400000000001,150809.46350286258,3634418.498420658,Historical Hour-of-Day Mean,8996.516666666668
281,queue,17982509.537,18047596.792000007,18240295.2227196,17894112.137720693,Historical Hour-of-Day Mean,21164688.47483333
281,storage,534547.4959999999,467004.7860000001,370898.54957994295,679693.2768260174,Historical Hour-of-Day Mean,314492.7505
281,timer,1150500.4130000004,1165257.531,1178150.891788165,1174071.2183162468,Historical Hour-of-Day Mean,1102530.3166111112
282,event,2403400.8800000004,2203178.4940000004,1910747.443551196,1943559.9809468964,Historical Hour-of-Day Mean,3314643.1328333337
282,http,3104987.897000001,2811391.6880000005,3893952.974289184,3189879.897309814,Historical Hour-of-Day Mean,5523874.017613404
282,orchestration,711021.079,639309.517,690999.369815743,853459.0876621293,Historical Hour-of-Day Mean,708356.5321666667
282,others,5289.4580000000005,114.07199999999996,155285.59383068787,3385342.3448736444,Historical Hour-of-Day Mean,19553.732333333333
282,queue,20882869.228,20262117.591,18143188.23096535,18440498.716743384,Historical Hour-of-Day Mean,21793623.28666667
282,storage,547268.5919999998,492825.41200000007,370517.364647561,769966.2425095496,Historical Hour-of-Day Mean,328607.6568154762
282,timer,1172178.103,1195457.7619999996,1220413.556310716,1271611.621207863,Historical Hour-of-Day Mean,1127586.0086111112
283,event,2403143.3630000004,2577700.508,1935300.075347321,1974511.3354702028,Historical Hour-of-Day Mean,3746488.2156666666
283,http,3198231.496999999,2813843.1050000004,3902840.161066669,3286183.491039307,Historical Hour-of-Day Mean,4821042.069921383
283,orchestration,667078.152,626422.6630000002,686092.5608058559,781843.098733454,Historical Hour-of-Day Mean,678722.3426666666
283,others,4155.241,20.014000000000003,159200.82213887092,2808172.745176999,Historical Hour-of-Day Mean,18888.628166666665
283,queue,19234437.195,18668418.195,17855152.952660527,18048351.108512584,Historical Hour-of-Day Mean,20303658.903666664
283,storage,530607.5650000001,414117.3710000001,371649.124998462,739822.2092755884,Historical Hour-of-Day Mean,307971.3074821429
283,timer,1145788.283,1174642.2989999996,1182022.909586476,1142136.6709195462,Historical Hour-of-Day Mean,1103952.485777778
284,event,2384845.441,2377579.82,1930004.645661592,2041293.282879382,Historical Hour-of-Day Mean,4135751.544
284,http,2937183.214,2708813.3492857134,3909703.48910977,3331573.902069831,Historical Hour-of-Day Mean,5466745.91679245
284,orchestration,713968.4699999999,807750.1419999999,727028.7058127461,858160.1671372198,Historical Hour-of-Day Mean,747394.5756666666
284,others,3820.61,33.696,163022.71811379213,2823269.5307165743,Historical Hour-of-Day Mean,5944.792
284,queue,18411481.710999995,18146207.032,17687958.289194588,17832219.40600522,Historical Hour-of-Day Mean,19574622.671666663
284,storage,511029.76699999993,413580.391,371651.9988482805,765947.2524574217,Historical Hour-of-Day Mean,302880.4942142857
284,timer,1166914.5310000004,1183445.5279999997,1196333.40779958,1175558.5381577634,Historical Hour-of-Day Mean,1116975.208277778
285,event,2367171.5840000003,2614029.415,1858716.95455976,2056700.2443356528,Historical Hour-of-Day Mean,2950910.8795
285,http,2904557.4779999987,3204993.134571429,3919610.5623582345,3424316.3911177088,Historical Hour-of-Day Mean,6175781.424798456
285,orchestration,1089393.299,824923.2190000002,727500.4959637467,860352.2513925696,Historical Hour-of-Day Mean,858920.0331666666
285,others,2744.414,446.789,167301.5116772754,2548481.748597315,Historical Hour-of-Day Mean,640.3588333333333
285,queue,21281874.904,16331887.210000005,17651025.560486678,17812356.174140908,Historical Hour-of-Day Mean,19404104.726166666
285,storage,460893.46200000006,380881.45000000007,372119.983573098,759456.8707433722,Historical Hour-of-Day Mean,277795.0475535714
285,timer,1152052.3290000004,1169324.041,1185196.2138129394,1225368.7743499854,Historical Hour-of-Day Mean,1105044.332777778
286,event,2506717.722,2199801.474,1872655.204401076,1933778.5301560112,Historical Hour-of-Day Mean,3045548.6905000005
286,http,2675732.581,2651705.311857143,3921097.833007194,3359269.4316184605,Historical Hour-of-Day Mean,5783517.062468838
286,orchestration,885249.6880000002,984435.929,771124.1399370673,870490.8502566657,Historical Hour-of-Day Mean,864326.418
286,others,3089.0550000000003,8063.622,184415.44889295415,2067034.2615480523,Historical Hour-of-Day Mean,5594.0718333333325
286,queue,27588240.311999988,17721705.650000002,17644991.17747043,17102047.609264266,Historical Hour-of-Day Mean,19349370.460166663
286,storage,482526.734,521254.808,370075.5949304996,783203.0974528742,Historical Hour-of-Day Mean,279496.10583333333
286,timer,1141022.7010000006,1164780.2139999997,1185213.1838314016,1196251.8816164655,Historical Hour-of-Day Mean,1108186.319111111
287,event,2259312.990999999,2185732.264,1869227.5008648797,1783570.5210880795,Historical Hour-of-Day Mean,2916121.114333334
287,http,2566440.7240000004,2629430.7009999985,3925633.200262688,3269976.5619953107,Historical Hour-of-Day Mean,5657966.819528303
287,orchestration,843178.858,806707.0400000002,732535.2666005348,871913.3316068101,Historical Hour-of-Day Mean,779359.4298333334
287,others,3092.251,6050.125000000001,183805.11479543397,2032166.0473711733,Historical Hour-of-Day Mean,12711.007333333337
287,queue,24561674.864,16313325.227000002,17625106.342557088,17311987.08676188,Historical Hour-of-Day Mean,19326617.615166668
287,storage,447236.90599999984,647190.632,368319.8671833066,763768.2828037548,Historical Hour-of-Day Mean,268397.8406666667
287,timer,1125429.367,1167263.3539999998,1189713.7854727886,1180796.174321616,Historical Hour-of-Day Mean,1113397.9082777775
288,event,2247887.4460000005,1879749.836,2192755.4300212534,2474613.6780034727,Historical Hour-of-Day Mean,3271193.469833333
288,http,3906155.012000002,2805230.9999999995,2770465.36493875,2668614.9380096733,Historical Hour-of-Day Mean,3651880.327166667
288,orchestration,861925.1639999999,878936.4619999998,768152.5296720128,806417.8628184394,Historical Hour-of-Day Mean,845788.5836666668
288,others,3299.238,25593.528,17589.397551467064,209334.9322175731,Historical Hour-of-Day Mean,15827.451333333333
288,queue,23375016.570999995,19161301.273,23505839.26827088,22376329.1322442,Historical Hour-of-Day Mean,19464080.44183333
288,storage,502060.1940000001,663917.026,427701.3655469159,529997.2821180737,Historical Hour-of-Day Mean,287168.5098333334
288,timer,1171331.664,1220536.8009999995,1200181.2638504552,1198244.9016514383,Historical Hour-of-Day Mean,1171078.0997777777
289,event,2069501.96,1649133.4399999997,2115111.2474256414,2281847.9170370763,Historical Hour-of-Day Mean,2957774.7973333336
289,http,4577613.125000003,2773144.2549999985,2941298.613257801,2627696.764847188,Historical Hour-of-Day Mean,3580844.757333333
289,orchestration,700438.1150000001,640961.9430000001,736031.722515962,691191.7334384314,Historical Hour-of-Day Mean,613518.6883333334
289,others,3171.9939999999992,24491.939,30919.038615613103,266739.3216613868,Historical Hour-of-Day Mean,14364.2605
289,queue,20773481.864,20380915.816,23986455.68210175,23491599.016928434,Historical Hour-of-Day Mean,24730571.8335
289,storage,447325.40900000016,683782.8939999999,416845.40524232766,487213.02982332726,Historical Hour-of-Day Mean,365171.5113869048
289,timer,1112879.1419999998,1164943.6120000002,1141789.6956175235,1177625.1972434518,Historical Hour-of-Day Mean,1114079.032777778
290,event,2003520.7650000004,1630536.708,2013834.575776597,2426139.608775983,Historical Hour-of-Day Mean,2416068.0741666667
290,http,4766545.837000002,2876841.1250000005,3085464.681269937,2958470.7741389563,Historical Hour-of-Day Mean,3403175.295666667
290,orchestration,638472.4130000001,558945.896,670678.0269755685,566594.374775333,Historical Hour-of-Day Mean,554714.6015
290,others,4047.153999999999,26524.62799999999,43379.29155857797,273798.2994830771,Historical Hour-of-Day Mean,14042.8525
290,queue,18236817.513,20076510.594000004,24195003.11221879,24540428.5518814,Historical Hour-of-Day Mean,28182282.8325
290,storage,432039.471,647814.659,410087.2261935946,486032.90594145714,Historical Hour-of-Day Mean,345648.1795
290,timer,1130438.917,1177979.4790000005,1163793.748247173,1175631.7717774035,Historical Hour-of-Day Mean,1122373.9734444446
291,event,1991884.497,1635184.665,1996814.2607905937,2282872.717412848,Historical Hour-of-Day Mean,2894105.4673333336
291,http,3805490.162,2510917.6620000005,3204430.843910658,2850497.585769237,Historical Hour-of-Day Mean,3292338.698333333
291,orchestration,729720.619,530922.37,682164.5558856877,650664.4367838211,Historical Hour-of-Day Mean,554632.6036666667
291,others,3163.7180000000003,23785.417999999994,54953.42154085152,249241.2133724082,Historical Hour-of-Day Mean,11975.072333333332
291,queue,16540401.018999996,18671366.706000004,23434626.66798712,23008629.13886759,Historical Hour-of-Day Mean,26478017.505166665
291,storage,402955.65700000006,677917.061,406933.01398060366,518730.18420825736,Historical Hour-of-Day Mean,401579.89166666666
291,timer,1117479.627,1165076.466,1142173.7502662544,1157122.9055023924,Historical Hour-of-Day Mean,1108846.8779444443
292,event,2106801.114,1651793.4330000002,1947792.667692971,2517398.3249674686,Historical Hour-of-Day Mean,3352291.4113333337
292,http,3079319.963,3041679.904999999,3308446.921593353,2865710.1045141737,Historical Hour-of-Day Mean,3384070.0336991865
292,orchestration,596250.8790000001,596873.2099999998,676077.9774307683,719775.000813996,Historical Hour-of-Day Mean,786975.8331666668
292,others,8319.973000000002,28087.99,65813.81385442645,255023.65133776283,Historical Hour-of-Day Mean,14365.141166666666
292,queue,16850461.316,18777746.328,22340998.67445652,20715106.009013936,Historical Hour-of-Day Mean,23409383.679
292,storage,730523.5100000001,658411.1199999999,404716.0214573483,529013.6193524972,Historical Hour-of-Day Mean,378616.6601666666
292,timer,1117916.487,1167125.779,1150562.2453600378,1147520.527174011,Historical Hour-of-Day Mean,1112323.709611111
293,event,2211446.576,1708389.6160000004,1929782.1680652876,2270426.05747484,Historical Hour-of-Day Mean,2722920.472833333
293,http,3239315.9459999995,2821967.586999999,3392636.17865688,2950382.3868323592,Historical Hour-of-Day Mean,3559104.281055083
293,orchestration,614871.2619999999,556103.8020000001,686326.9071531926,737640.3235224528,Historical Hour-of-Day Mean,545403.2395
293,others,5015.284,18824.748999999996,75811.3647830232,256501.80259277855,Historical Hour-of-Day Mean,11014.912333333332
